,Task type,MVTec Category,Model,train,export,deploy,nncf,pot,train E2E Time (Sec.),export E2E Time (Sec.),deploy E2E Time (Sec.),nncf E2E Time (Sec.),pot E2E Time (Sec.),train Eval Time (Sec.),export Eval Time (Sec.),deploy Eval Time (Sec.),nncf Eval Time (Sec.),pot Eval Time (Sec.)
10,anomaly_detection,hazelnut,STFPM,f-measure: 0.642,f-measure: 0.639,f-measure: 0.639,f-measure: 0.685,f-measure: 0.636,604.335,20.322,13.347,1024.806,76.307,24.364,45.62,33.433,28.369,30.493
11,anomaly_detection,hazelnut,PADIM,f-measure: 0.908,f-measure: 0.719,f-measure: 0.719,f-measure: 0.886,f-measure: 0.71,97.453,21.649,15.456,188.211,92.612,21.172,44.403,33.914,27.619,30.044
12,anomaly_detection,leather,STFPM,f-measure: 0.837,f-measure: 0.793,f-measure: 0.793,f-measure: 0.903,f-measure: 0.758,1793.502,22.032,13.56,689.162,96.315,26.403,70.691,58.868,28.972,51.785
13,anomaly_detection,leather,PADIM,f-measure: 0.816,f-measure: 0.791,f-measure: 0.791,f-measure: 0.923,f-measure: 0.855,118.473,14.291,14.255,137.69,98.818,28.645,43.832,37.311,22.696,34.151
14,anomaly_detection,metal_nut,STFPM,f-measure: 0.803,f-measure: 0.809,f-measure: 0.809,f-measure: 0.798,f-measure: 0.802,700.552,20.005,13.881,625.261,56.488,24.762,35.277,26.894,23.569,19.599
15,anomaly_detection,metal_nut,PADIM,f-measure: 0.812,f-measure: 0.795,f-measure: 0.795,f-measure: 0.821,f-measure: 0.809,253.221,20.301,15.261,163.268,77.037,22.516,34.549,21.589,24.016,19.403
16,anomaly_detection,pill,STFPM,f-measure: 0.841,f-measure: 0.844,f-measure: 0.844,f-measure: 0.84,f-measure: 0.844,602.1,19.787,12.01,986.114,62.978,32.492,38.765,42.324,42.32,32.925
17,anomaly_detection,pill,PADIM,f-measure: 0.841,f-measure: 0.844,f-measure: 0.844,f-measure: 0.841,f-measure: 0.844,395.348,14.588,15.439,957.486,84.085,23.919,37.047,39.031,23.969,29.469
18,anomaly_detection,screw,STFPM,f-measure: 0.781,f-measure: 0.744,f-measure: 0.744,f-measure: 0.752,f-measure: 0.744,1137.651,13.83,14.712,1606.437,75.41,28.384,50.985,46.459,31.386,32.833
19,anomaly_detection,screw,PADIM,f-measure: 0.74,f-measure: 0.744,f-measure: 0.744,f-measure: 0.74,f-measure: 0.744,133.043,17.113,15.426,151.489,96.168,28.04,37.065,42.704,31.289,34.886
20,anomaly_detection,tile,STFPM,f-measure: 0.838,f-measure: 0.725,f-measure: 0.725,f-measure: 0.896,f-measure: 0.712,1308.421,13.619,12.356,1152.183,72.673,24.431,46.0,44.376,23.165,34.108
21,anomaly_detection,tile,PADIM,f-measure: 0.75,f-measure: 0.686,f-measure: 0.686,f-measure: 0.797,f-measure: 0.689,531.855,15.001,13.6,173.753,86.578,19.97,33.03,33.492,26.66,23.195
