,Task type,Train type,Label type,Model,train,export,deploy,nncf,pot,train E2E Time (Sec.),export E2E Time (Sec.),deploy E2E Time (Sec.),nncf E2E Time (Sec.),pot E2E Time (Sec.),train Eval Time (Sec.),export Eval Time (Sec.),deploy Eval Time (Sec.),nncf Eval Time (Sec.),pot Eval Time (Sec.)
13,classification,supervised,multi_label,MobileNet-V3-large-1x,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,248.58,23.91,278.165,412.852,140.605,26.925,24.033,27.583,36.124,24.999
14,classification,supervised,multi_label,EfficientNet-B0,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.988,Accuracy: 0.987,Accuracy: 0.987,214.801,24.435,284.074,524.439,126.233,96.734,29.381,28.848,35.388,25.633
15,classification,class_incr,multi_label,EfficientNet-V2-S,Accuracy: 0.99,-,-,-,-,325.446,-,-,-,-,27.862,-,-,-,-
16,classification,class_incr,multi_label,MobileNet-V3-large-1x,Accuracy: 0.99,-,-,-,-,309.765,-,-,-,-,28.428,-,-,-,-
17,classification,class_incr,multi_label,EfficientNet-B0,Accuracy: 0.989,-,-,-,-,245.931,-,-,-,-,20.845,-,-,-,-
18,classification,supervised,h_label,EfficientNet-V2-S,Accuracy: 0.656,Accuracy: 0.656,Accuracy: 0.656,Accuracy: 0.633,Accuracy: 0.639,107.832,33.438,19.795,574.208,299.245,20.453,43.758,40.453,99.908,40.583
19,classification,supervised,h_label,MobileNet-V3-large-1x,Accuracy: 0.675,Accuracy: 0.675,Accuracy: 0.675,Accuracy: 0.678,Accuracy: 0.658,103.356,23.049,13.027,557.418,130.828,23.109,25.429,24.893,56.923,26.452
20,classification,supervised,h_label,EfficientNet-B0,Accuracy: 0.744,Accuracy: 0.744,Accuracy: 0.744,Accuracy: 0.672,Accuracy: 0.725,96.987,25.917,13.435,771.575,126.057,22.136,24.864,24.022,33.975,27.714
21,classification,supervised,supcon,EfficientNet-V2-S,Accuracy: 0.783,-,-,-,-,151.86,-,-,-,-,23.455,-,-,-,-
22,classification,supervised,supcon,MobileNet-V3-large-1x,Accuracy: 0.728,-,-,-,-,139.579,-,-,-,-,24.327,-,-,-,-
23,classification,supervised,supcon,EfficientNet-B0,Accuracy: 0.772,-,-,-,-,162.515,-,-,-,-,20.268,-,-,-,-
24,instance_segmentation,supervised,multi_class,MaskRCNN-ResNet50,f-measure: 0.473,f-measure: 0.0,f-measure: 0.0,f-measure: 0.437,f-measure: 0.0,6108.891,32.458,3198.887,21906.016,788.928,141.878,373.044,344.852,121.94,117.013
